221.195.111.202 - - [31/Dec/2017:21:00:01 +0000] "GET /manager/html HTTP/1.1" - - - "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)" 38 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:43:44 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 39 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:43:48 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 40 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:44:06 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 41 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:44:22 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 42 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:44:42 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 43 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:45:11 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 44 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:45:22 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 45 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:45:42 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 46 - - 0ms
213.213.194.114 - - [01/Jan/2018:00:46:12 +0000] "GET /api/providers HTTP/2.0" - - "https://traefik.services.alin.be/dashboard/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0.1 Safari/604.3.5" 47 - - 0ms
